iter	RMSE
0	130521.2176
1	120483.508
2	111674.5575
3	103426.5417
4	96132.46487
5	89613.40831
6	83844.02023
7	78782.01616
8	74404.80355
9	70303.60583
10	66884.18467
11	63948.07805
12	61265.48093
13	58794.62096
14	56729.4891
15	54835.63725
16	53309.96773
17	51963.42219
18	50438.67762
19	49298.1378
20	48207.6577
21	47288.41207
22	46503.64766
23	45828.76234
24	45137.46318
25	44477.81386
26	43769.44933
27	43198.43027
28	42640.27472
29	42219.55382
30	41771.05673
31	41393.07777
32	40986.31527
33	40598.94973
34	40288.67191
35	39892.26636
36	39548.66708
37	39245.20836
38	38979.64091
39	38747.07378
40	38510.71076
41	38301.18936
42	38102.01451
43	37887.66199
44	37737.31224
45	37508.97996
46	37282.678
47	37096.77407
48	36910.64816
49	36748.84121
50	36585.78
51	36409.1701
52	36195.95943
53	36023.60536
54	35860.66939
55	35735.8693
56	35551.81228
57	35325.59366
58	35158.01159
59	35100.41048
60	34975.89008
61	34807.77665
62	34701.13904
63	34578.71979
64	34484.71276
65	34366.84577
66	34289.10037
67	34202.12894
68	34067.12037
69	33975.1404
70	33858.79436
71	33748.87781
72	33620.66781
73	33492.85984
74	33407.94292
75	33284.57645
76	33183.29803
77	33120.48663
78	33051.68696
79	32948.66318
80	32807.98853
81	32692.66365
82	32603.41573
83	32533.4872
84	32401.06582
85	32287.45628
86	32198.14225
87	32068.76081
88	31963.88329
89	31885.8081
90	31792.70966
91	31718.47228
92	31637.62909
93	31583.8237
94	31462.95315
95	31380.66915
96	31290.005
97	31201.54721
98	31090.89373
99	31013.23076
