iter	Passed	Remaining
0	5	550
1	10	505
2	15	506
3	20	494
4	25	487
5	31	486
6	36	480
7	41	471
8	46	471
9	51	465
10	56	459
11	62	458
12	67	452
13	72	446
14	77	439
15	82	432
16	87	426
17	92	420
18	97	413
19	102	408
20	107	403
21	112	397
22	117	392
23	122	386
24	126	380
25	132	376
26	137	371
27	142	365
28	147	361
29	152	356
30	157	350
31	162	345
32	167	340
33	172	335
34	177	329
35	182	325
36	187	319
37	193	314
38	197	309
39	202	304
40	207	298
41	212	293
42	217	288
43	222	283
44	227	278
45	232	273
46	237	268
47	243	263
48	248	258
49	253	253
50	258	248
51	263	243
52	268	238
53	273	233
54	278	227
55	283	222
56	288	217
57	293	212
58	298	207
59	303	202
60	308	197
61	313	192
62	318	187
63	323	182
64	328	177
65	333	172
66	338	166
67	343	161
68	348	156
69	353	151
70	358	146
71	364	141
72	369	136
73	374	131
74	379	126
75	384	121
76	390	116
77	395	111
78	400	106
79	405	101
80	411	96
81	416	91
82	421	86
83	426	81
84	431	76
85	436	71
86	442	66
87	446	60
88	452	55
89	457	50
90	462	45
91	467	40
92	472	35
93	477	30
94	483	25
95	488	20
96	493	15
97	498	10
98	503	5
99	507	0
